name,guard_name,prefix

admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-details,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-permanent-delete,admin,Admin

role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-details,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-permanent-delete,admin,Role

permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-details,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-permanent-delete,admin,Permission

user-list,admin,User
user-create,admin,User
user-edit,admin,User
user-delete,admin,User
user-status,admin,User
user-details,admin,User
user-trash,admin,User
user-restore,admin,User
user-permanent-delete,admin,User

book-list,admin,Book
book-create,admin,Book
book-edit,admin,Book
book-delete,admin,Book
book-status,admin,Book
book-details,admin,Book
book-trash,admin,Book
book-restore,admin,Book
book-permanent-delete,admin,Book

category-list,admin,Category
category-create,admin,Category
category-edit,admin,Category
category-delete,admin,Category
category-status,admin,Category
category-details,admin,Category
category-trash,admin,Category
category-restore,admin,Category
category-permanent-delete,admin,Category

author-list,admin,Author
author-create,admin,Author
author-edit,admin,Author
author-delete,admin,Author
author-details,admin,Author
author-trash,admin,Author
author-restore,admin,Author
author-permanent-delete,admin,Author

publisher-list,admin,Publisher
publisher-create,admin,Publisher
publisher-edit,admin,Publisher
publisher-delete,admin,Publisher
publisher-status,admin,Publisher
publisher-details,admin,Publisher
publisher-trash,admin,Publisher
publisher-restore,admin,Publisher
publisher-permanent-delete,admin,Publisher

rack-list,admin,Rack
rack-create,admin,Rack
rack-edit,admin,Rack
rack-delete,admin,Rack
rack-status,admin,Rack
rack-details,admin,Rack
rack-trash,admin,Rack
rack-restore,admin,Rack
rack-permanent-delete,admin,Rack

book-issues-list,admin,Book Issues
book-issues-create,admin,Book Issues
book-issues-edit,admin,Book Issues
book-issues-delete,admin,Book Issues
book-issues-status,admin,Book Issues
book-issues-details,admin,Book Issues
book-issues-trash,admin,Book Issues
book-issues-restore,admin,Book Issues
book-issues-permanent-delete,admin,Book Issues

book-issues-list-pending,admin,Book Issues
book-issues-list-issued,admin,Book Issues
book-issues-list-returned,admin,Book Issues
book-issues-list-overdue,admin,Book Issues
book-issues-list-lost,admin,Book Issues
book-issues-list-unpaid,admin,Book Issues
book-issues-list-paid,admin,Book Issues

magazine-list,admin,Magazine
magazine-create,admin,Magazine
magazine-edit,admin,Magazine
magazine-delete,admin,Magazine
magazine-status,admin,Magazine
magazine-details,admin,Magazine
magazine-trash,admin,Magazine
magazine-restore,admin,Magazine
magazine-permanent-delete,admin,Magazine

newspaper-list,admin,Newspaper
newspaper-create,admin,Newspaper
newspaper-edit,admin,Newspaper
newspaper-delete,admin,Newspaper
newspaper-status,admin,Newspaper
newspaper-details,admin,Newspaper
newspaper-trash,admin,Newspaper
newspaper-restore,admin,Newspaper
newspaper-permanent-delete,admin,Newspaper

query-list,admin,Query

application-setting-general,admin,Application Settings
application-setting-smtp,admin,Application Settings
application-setting-smtp-template,admin,Application Settings
application-setting-database,admin,Application Settings
application-setting-circulation-policies,admin,Application Settings
application-setting-contact-info,admin,Application Settings
application-setting-notification,admin,Application Settings
